"","country","Community Type","Treats water with acceptable method","Boil","Bleach","Filter","SolarDisinfection","Strain","More than 30 minutes","SurveyYear","Piped onto premises","Female Under 15","Mean Household Size","Female Over 15","Female Any Age","Type","LetStand","Any_water_treatment","Multiple_water_treatment"
"1","Afghanistan","Urban",21.3402756945698,17.3991276949916,3.10947142552177,2.89370433309907,1.00982770494854,0.544349550099392,NA,2023,41.3397897031314,NA,NA,NA,NA,"MICS",1.95630959591015,22.4637242717336,3.20830862145848
"2","Afghanistan","Rural",14.6033494302413,12.2224852347979,1.64421614246911,0.490805732452268,1.72867243460371,1.34006320246003,NA,2023,12.027340036266,NA,NA,NA,NA,"MICS",8.18313025098279,20.1461002983526,2.03633174690905
"3","Afghanistan","Total",16.4449051624299,13.6375334662944,2.0447473580048,1.14764410625489,1.53217442044859,1.12255287502118,NA,2023,20.0399718494316,NA,NA,NA,NA,"MICS",6.48101316958078,20.7797166030557,2.35669457212616
"4","Albania","Total",4.8,1.4,2,1.6,0,0.3,1.1,2017,54,NA,3.3,NA,NA,"DHS",NA,NA,NA
"5","Albania","Total",4.8,1.4,2,1.6,0,0.3,1.1,2017,54,NA,3.3,NA,NA,"DHS",NA,NA,NA
"6","Albania","Urban",45.5028344859101,4.76138544812854,0.0206824467770887,0.305629473656244,0,0.155858090876723,NA,2005,35.3645142921028,0,NA,0.822755421458635,0.822755421458635,"MICS",0.094556223361005,5.43373873297615,0.0707453281372553
"7","Albania","Rural",35.9210647046947,2.33590329761682,1.55393750612636,0.109975376545762,0.0219944832819678,1.27673020202405,NA,2005,40.6497750164357,0.0642366982594155,NA,0.847206909582603,0.911443607842018,"MICS",0.265665400218598,5.71604639131157,0.13603396433266
"8","Albania","Total",81.4238991906049,7.09728874574536,1.57461995290344,0.415604850202002,0.0219944832819677,1.43258829290077,NA,2005,76.0142893085385,0.0587301071808624,NA,0.845110843782069,0.903840950962931,"MICS",0.3602216235796,11.1497851242878,0.206779292469914
"9","Algeria","Urban",7.00462946967695,1.13456624989298,5.98128370254629,0.264688287124949,0.00578954468163717,0.164258649657606,NA,2019,59.4679222461869,NA,NA,NA,NA,"MICS",0.345435902414397,7.35966003555973,0.440306446982053
"10","Algeria","Rural",7.25565554757773,0.801599825901524,6.57945159769859,0.103132129481454,0.0034443249301298,0.464150671189743,NA,2019,48.9941662990016,NA,NA,NA,NA,"MICS",0.220132788872455,7.90820944540666,0.297735369740371
